t,output,input
1,0.1422,0.4804
2,0.0864,0.4804
3,0.5111,0.4804
4,0.2239,0.4804
5,0.3753,0.4804
6,0.1696,0.4804
7,0.2491,0.4804
8,0.4151,0.4804
9,0.3857,0.4804
10,0.1345,0.7980
11,0.3386,0.7980
12,0.6084,0.7980
13,0.5102,0.7980
14,0.5754,0.7980
15,0.5516,0.7980
16,0.7485,0.7980
17,0.3826,0.7980
18,0.6425,0.7980
19,0.6593,0.9723
20,0.5266,0.9723
21,0.5387,0.9723
22,0.5106,0.9723
23,0.7260,0.9723
24,0.4937,0.9723
25,0.6852,0.9723
26,0.6626,0.9723
27,0.6815,0.9723
28,0.8237,1.8499
29,0.6402,1.8499
30,1.6030,1.8499
31,1.0971,1.8499
32,1.6325,1.8499
33,1.3099,1.8499
34,1.1585,1.8499
35,1.1139,1.8499
36,1.3432,1.8499
37,1.4253,-1.3565
38,1.2941,-1.3565
39,-1.9607,-1.3565
40,-0.5098,-1.3565
41,-1.1015,-1.3565
42,-0.8085,-1.3565
43,-0.9613,-1.3565
44,-0.7865,-1.3565
45,-1.1096,-1.3565
46,-0.8836,-0.3556
47,-1.0786,-0.3556
48,0.1735,-0.3556
49,-0.4493,-0.3556
50,-0.1782,-0.3556
51,-0.3793,-0.3556
52,-0.2556,-0.3556
53,-0.3319,-0.3556
54,-0.2306,-0.7852
55,-0.3013,-0.7852
56,-0.7528,-0.7852
57,-0.3672,-0.7852
58,-0.6379,-0.7852
59,-0.4763,-0.7852
60,-0.5393,-1.5986
61,-0.6922,-1.5986
62,-1.3250,-1.5986
63,-0.8666,-1.5986
64,-1.0762,-1.5986
65,-1.1015,-1.5986
66,-1.0868,-1.5986
67,-1.0430,-1.5986
68,-1.0943,-1.5986
69,-1.0106,-1.5986
70,-0.9446,1.5160
71,-0.9540,1.5160
72,1.8990,1.5160
73,0.4216,1.5160
74,1.2495,1.5160
75,0.7723,1.5160
76,1.0962,1.5160
77,1.1023,1.5160
78,0.9797,1.5160
79,1.0296,1.5160
80,0.9454,1.5160
81,1.0905,0.7496
82,0.8917,0.7496
83,0.2371,0.7496
84,0.6646,0.7496
85,0.5331,0.7496
86,0.5083,0.7496
87,0.3900,1.3749
88,0.4451,1.3749
89,1.1796,1.3749
90,1.0178,1.3749
91,0.8959,1.3749
92,0.8550,1.3749
93,0.8634,1.3749
94,0.8869,1.3749
95,0.8781,0.6763
96,0.9374,0.6763
97,0.3921,0.6763
98,0.5583,0.6763
99,0.4750,0.6763
100,0.5977,0.6763
101,0.5278,0.6763
102,0.6216,-0.0413
103,0.4847,-0.0413
104,-0.3957,-0.0413
105,0.1988,-0.0413
106,-0.2007,-0.0413
107,-0.0289,-0.0413
108,-0.0668,-0.0413
109,0.1196,-0.0413
110,-0.1059,-0.0413
111,0.0220,1.7861
112,0.1127,1.7861
113,1.7407,1.7861
114,0.8231,1.7861
115,1.3546,1.7861
116,1.0911,1.7861
117,1.1485,1.7861
118,1.2137,-0.6474
119,1.2417,-0.6474
120,-1.1401,-0.6474
121,0.1151,-0.6474
122,-0.6519,-0.6474
123,-0.2503,-0.6474
124,-0.6356,1.9960
125,-0.4972,1.9960
126,2.0502,1.9960
127,0.8497,1.9960
128,1.6315,1.9960
129,1.3220,1.9960
130,1.4796,1.9960
131,1.4843,1.9960
132,1.2996,1.9960
133,1.2109,-1.3149
134,1.0816,-1.3149
135,-1.9598,-1.3149
136,-0.2853,-1.3149
137,-1.1345,-1.3149
138,-0.7879,-1.3149
139,-0.8013,-0.8908
140,-0.9448,-0.8908
141,-0.2115,-0.8908
142,-0.6455,-0.8908
143,-0.5909,-0.8908
144,-0.5036,-0.8908
145,-0.5853,0.6596
146,-0.4697,0.6596
147,1.1217,0.6596
148,0.0503,0.6596
149,0.6467,0.6596
150,0.4002,0.6596
151,0.5824,0.6596
152,0.2487,0.6596
153,0.5613,0.6596
154,0.4758,0.6596
155,0.6103,-1.8856
156,0.2302,-1.8856
157,-2.1068,-1.8856
158,-0.8425,-1.8856
159,-1.4473,-1.8856
160,-0.8972,-1.8856
161,-1.2698,0.9779
162,-1.0674,0.9779
163,1.5046,0.9779
164,0.0493,0.9779
165,0.8487,0.9779
166,0.4480,0.9779
167,0.6678,0.9779
168,0.6761,0.9779
169,0.6638,0.9779
170,0.5488,0.9779
171,0.7949,0.9779
172,0.5674,-0.5615
173,0.7775,-0.5615
174,-0.8275,-0.5615
175,-0.2514,-0.5615
176,-0.4119,-0.5615
177,-0.1976,-0.5615
178,-0.3559,-0.5615
179,-0.3804,-0.5615
180,-0.3361,-0.5615
181,-0.2100,-0.3846
182,-0.3019,-0.3846
183,-0.1675,-0.3846
184,-0.3833,-0.3846
185,-0.3130,-0.3846
186,-0.3503,-0.3846
187,-0.2635,-0.3846
188,-0.2368,-0.3846
189,-0.2058,-0.3846
190,-0.1769,0.2439
191,-0.2302,0.2439
192,0.5018,0.2439
193,0.0888,0.2439
194,0.0107,0.2439
195,-0.0248,0.2439
196,0.2543,0.2439
197,0.2585,0.2439
198,0.1464,0.2439
199,0.3334,-1.6699
200,0.0225,-1.6699
201,-1.8044,-1.6699
202,-0.8261,-1.6699
203,-1.3343,-1.6699
204,-1.0794,-1.6699
205,-1.2309,-1.6699
206,-1.0122,0.0858
207,-1.1266,0.0858
208,0.4411,0.0858
209,-0.1822,0.0858
210,0.2431,0.0858
211,0.1420,0.0858
212,0.1179,0.0858
213,-0.0204,0.0858
214,0.1984,0.0858
215,-0.0250,0.0858
216,0.0118,-1.8976
217,0.0029,-1.8976
218,-1.9949,-1.8976
219,-0.8987,-1.8976
220,-1.4194,-1.8976
221,-1.3661,-1.8976
222,-1.2628,-1.8976
223,-1.3271,-1.8976
224,-1.2755,-1.8976
225,-1.3075,-0.0070
226,-1.2433,-0.0070
227,0.6737,-0.0070
228,-0.3965,-0.0070
229,0.1987,-0.0070
230,-0.0880,-0.0070
231,-0.0239,-0.0070
232,-0.0309,-0.0070
233,0.0982,1.3545
234,0.0736,1.3545
235,1.3002,1.3545
236,0.6313,1.3545
237,1.1022,1.3545
238,0.8260,1.3545
239,1.0525,1.3545
240,0.7583,1.9468
241,0.9602,1.9468
242,1.5207,1.9468
243,1.2819,1.9468
244,1.3934,1.9468
245,1.3568,1.9468
246,1.2356,1.9468
247,1.4401,1.9468
248,1.3254,1.9468
249,1.3823,1.9468
250,1.2290,1.9468
251,1.4201,-1.0203
252,1.2967,-1.0203
253,-1.8175,-1.0203
254,-0.1839,-1.0203
255,-1.0335,-1.0203
256,-0.7169,-1.0203
257,-0.7416,-1.0203
258,-0.6034,-1.0203
259,-0.8966,-1.0203
260,-0.5184,0.5404
261,-0.6163,0.5404
262,0.9312,0.5404
263,0.1148,0.5404
264,0.7127,0.5404
265,0.2773,0.5404
266,0.3955,0.5404
267,0.3406,0.5404
268,0.3674,-1.6547
269,0.3389,-1.6547
270,-1.8138,-1.6547
271,-0.8713,-1.6547
272,-1.2979,-1.6547
273,-0.9925,-1.6547
274,-1.3035,-1.0403
275,-1.0592,-1.0403
276,-0.5415,-1.0403
277,-0.7210,-1.0403
278,-0.8265,-1.0403
279,-0.6572,-1.0403
280,-0.7425,-1.0403
281,-0.7465,-1.9960
282,-0.6919,-1.9960
283,-1.6299,-1.9960
284,-1.1993,-1.9960
285,-1.5779,-1.9960
286,-1.2080,-1.9960
287,-1.5183,-1.9960
288,-1.3362,-1.9960
289,-1.3670,-1.9960
290,-1.3172,-1.9960
291,-1.3837,1.2640
292,-1.3448,1.2640
293,1.8805,1.2640
294,0.2617,1.2640
295,0.9553,1.2640
296,0.7185,1.2640
297,0.9487,-0.7198
298,0.7235,-0.7198
299,-1.0061,-0.7198
300,-0.1886,-0.7198
301,-0.4671,-0.7198
302,-0.5110,-0.7198
303,-0.7562,-1.2894
304,-0.5620,-1.2894
305,-1.2315,-1.2894
306,-0.7232,-1.2894
307,-0.7935,-1.2894
308,-0.8702,-1.2894
309,-0.8866,-1.2894
310,-0.8862,1.8308
311,-0.7578,1.8308
312,2.4404,1.8308
313,0.5872,1.8308
314,1.5983,1.8308
315,1.0797,1.8308
316,1.2948,1.8308
317,1.3835,1.0947
318,1.1409,1.0947
319,0.5218,1.0947
320,0.7792,1.0947
321,0.5785,1.0947
322,0.7099,1.0947
323,0.7720,1.0947
324,0.8402,1.0947
325,0.8436,1.0947
326,0.5777,-0.0892
327,0.7135,-0.0892
328,-0.2248,-0.0892
329,0.1224,-0.0892
330,-0.2457,-0.0892
331,-0.1016,-0.0892
332,-0.0087,-0.0892
333,0.0617,-0.0892
334,-0.1320,-0.0892
335,0.0055,-0.0892
336,-0.1587,-0.0892
337,0.1177,-0.7006
338,0.0041,-0.7006
339,-0.6152,-0.7006
340,-0.3496,-0.7006
341,-0.4545,-0.7006
342,-0.6317,-0.7006
343,-0.4186,1.4666
344,-0.5040,1.4666
345,1.5262,1.4666
346,0.6847,1.4666
347,1.1669,1.4666
348,0.7823,1.4666
349,0.9915,1.4666
350,1.0516,-0.7058
351,0.9593,-0.7058
352,-1.2447,-0.7058
353,-0.2466,-0.7058
354,-0.7031,-0.7058
355,-0.3486,-0.7058
356,-0.5492,-0.7058
357,-0.5090,-0.7058
358,-0.5409,-1.1587
359,-0.3682,-1.1587
360,-0.9189,-1.1587
361,-0.6250,-1.1587
362,-0.8662,-1.1587
363,-0.5600,-1.1587
364,-0.6289,-1.1587
365,-0.7876,-1.1587
366,-0.6177,-1.1587
367,-0.6917,-0.9102
368,-0.8819,-0.9102
369,-0.7988,-0.9102
370,-0.7257,-0.9102
371,-0.6443,-0.9102
372,-0.5862,-0.9102
373,-0.7496,0.8209
374,-0.5256,0.8209
375,1.0695,0.8209
376,0.2687,0.8209
377,0.7648,0.8209
378,0.5918,0.8209
379,0.6259,0.8209
380,0.4306,0.8209
381,0.6567,0.3755
382,0.5239,0.3755
383,0.0529,0.3755
384,0.3613,0.3755
385,0.2076,0.3755
386,0.1729,0.3755
387,0.3593,0.3755
388,0.2499,0.3755
389,0.2758,0.9108
390,0.0795,0.9108
391,0.7372,0.9108
392,0.4959,0.9108
393,0.6181,0.9108
394,0.8626,0.9108
395,0.5558,0.9108
396,0.7632,1.8946
397,0.9187,1.8946
398,1.6008,1.8946
399,1.0051,1.8946
400,1.1883,1.8946
401,1.2564,1.8946
402,1.1860,1.8946
403,1.3951,1.8946
404,1.1941,-0.0816
405,1.2407,-0.0816
406,-0.7285,-0.0816
407,0.2460,-0.0816
408,-0.1387,-0.0816
409,0.0805,-0.0816
410,-0.1243,-0.0816
411,-0.1729,-0.0816
412,-0.0914,1.0865
413,0.0834,1.0865
414,1.0729,1.0865
415,0.4001,1.0865
416,0.8707,1.0865
417,0.7034,1.0865
418,0.6353,1.0865
419,0.8838,1.0865
420,0.7620,1.0865
421,0.7518,-1.2706
422,0.7010,-1.2706
423,-1.7682,-1.2706
424,-0.4177,-1.2706
425,-0.9463,-1.2706
426,-0.8033,-1.2706
427,-0.7789,-1.2706
428,-0.7020,1.1984
429,-0.9506,1.1984
430,1.6671,1.1984
431,0.2952,1.1984
432,1.0488,1.1984
433,0.7185,1.1984
434,1.0397,1.1984
435,0.8896,1.1984
436,0.7519,1.1984
